"artifact","name","version","moduleUrl","moduleLicense","moduleLicenseUrl","projectUrl",
"antlr:antlr:2.7.7","antlr","2.7.7","http://www.antlr.org/","BSD License","http://www.antlr.org/license.html","http://www.antlr.org/",
"aopalliance:aopalliance:1.0","aopalliance","1.0","http://aopalliance.sourceforge.net","Public Domain",,"http://aopalliance.sourceforge.net",
"ch.qos.logback:logback-access:1.2.1","logback-access","1.2.1","http://www.qos.ch","http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",,,
"ch.qos.logback:logback-classic:1.2.1","logback-classic","1.2.1","http://www.qos.ch","http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",,,
"ch.qos.logback:logback-core:1.2.1","logback-core","1.2.1","http://www.qos.ch","http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",,,
"com.fasterxml:classmate:1.3.1","classmate","1.3.1","http://github.com/cowtowncoder/java-classmate","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/cowtowncoder/java-classmate",
"com.fasterxml.jackson.core:jackson-annotations:2.8.0","jackson-annotations","2.8.0","http://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson",
"com.fasterxml.jackson.core:jackson-core:2.8.7","jackson-core","2.8.7","https://github.com/FasterXML/jackson-core","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-core",
"com.fasterxml.jackson.core:jackson-databind:2.8.7","jackson-databind","2.8.7","http://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson",
"com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.4.5","jackson-dataformat-xml","2.4.5","http://wiki.fasterxml.com/JacksonExtensionXmlDataBinding","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://wiki.fasterxml.com/JacksonExtensionXmlDataBinding",
"com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.8.7","jackson-dataformat-yaml","2.8.7","https://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson",
"com.fasterxml.jackson.datatype:jackson-datatype-guava:2.8.7","jackson-datatype-guava","2.8.7","https://github.com/FasterXML/jackson-datatypes-collections","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-datatypes-collections",
"com.fasterxml.jackson.datatype:jackson-datatype-hibernate5:2.8.7","jackson-datatype-hibernate5","2.8.7","https://github.com/FasterXML/jackson-datatype-hibernate","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-datatype-hibernate",
"com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.8.7","jackson-datatype-jdk8","2.8.7","https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jdk8","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.datatype:jackson-datatype-joda:2.8.7","jackson-datatype-joda","2.8.7","http://wiki.fasterxml.com/JacksonModuleJoda","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://wiki.fasterxml.com/JacksonModuleJoda",
"com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.8.7","jackson-datatype-jsr310","2.8.7","https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jsr310","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.jaxrs:jackson-jaxrs-base:2.8.7","jackson-jaxrs-base","2.8.7","http://github.com/FasterXML/jackson-jaxrs-providers/jackson-jaxrs-base","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.8.7","jackson-jaxrs-json-provider","2.8.7","http://github.com/FasterXML/jackson-jaxrs-providers/jackson-jaxrs-json-provider","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.module:jackson-module-afterburner:2.8.7","jackson-module-afterburner","2.8.7","https://github.com/FasterXML/jackson-modules-base","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-modules-base",
"com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.8.7","jackson-module-jaxb-annotations","2.8.7","http://github.com/FasterXML/jackson-module-jaxb-annotations","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson-module-jaxb-annotations",
"com.fasterxml.jackson.module:jackson-module-parameter-names:2.8.7","jackson-module-parameter-names","2.8.7","https://github.com/FasterXML/jackson-modules-java8/jackson-module-parameter-names","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.github.spullara.mustache.java:compiler:0.9.4","compiler","0.9.4","http://github.com/spullara/mustache.java","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/spullara/mustache.java",
"com.github.stephenc.jcip:jcip-annotations:1.0-1","jcip-annotations","1.0-1","http://stephenc.github.com/jcip-annotations","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://stephenc.github.com/jcip-annotations",
"com.google.code.findbugs:annotations:3.0.1","annotations","3.0.1","http://findbugs.sourceforge.net/","GNU Lesser Public License","http://www.gnu.org/licenses/lgpl.html","http://findbugs.sourceforge.net/",
"com.google.code.findbugs:jsr305:3.0.1","jsr305","3.0.1","http://findbugs.sourceforge.net/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://findbugs.sourceforge.net/",
"com.google.errorprone:error_prone_annotations:2.0.18","error_prone_annotations","2.0.18",,"Apache 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.guava:guava:22.0","guava","22.0","https://github.com/google/guava/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.inject:guice:4.0","guice","4.0","https://github.com/google/guice","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.inject.extensions:guice-multibindings:4.0","guice-multibindings","4.0","https://github.com/google/guice","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
